Food_Code,Food_Name,Category,Calories,Protein,Carbs,Fat,Fiber,Sugars,Sodium,Cholesterol,Protein_Efficiency,Caloric_Density,Bulking_Score,Cutting_Score
41305000,Almond butter,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",297.3,15.59,35.75,10.22,14.27,8.67,103.9,0.0,5.24,2.97,52.03,69.36
41301990,"Almond butter, lower sodium","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",522.4,29.39,26.66,33.13,4.53,6.45,36.8,0.0,5.63,5.22,77.33,86.78
42102000,Almond paste,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",246.2,16.23,32.01,5.92,15.22,2.92,79.6,0.0,6.59,2.46,50.93,74.21
41304970,"Almonds, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",245.4,12.24,38.86,4.56,6.25,4.67,374.8,0.0,4.99,2.45,46.36,44.31
41102210,"Almonds, flavored","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",313.9,24.92,39.52,6.23,12.32,7.32,317.3,0.0,7.94,3.14,72.74,93.12
41102990,"Almonds, honey roasted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",555.5,8.82,45.51,37.58,3.42,4.71,133.8,0.0,1.59,5.56,45.95,22.19
41301010,"Almonds, lightly salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",668.6,12.38,46.67,48.05,6.27,1.88,359.2,0.0,1.85,6.69,54.78,36.31
41300990,"Almonds, salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",419.3,24.02,10.79,31.12,9.45,5.56,225.6,0.0,5.73,4.19,57.63,82.57
41410010,"Almonds, unroasted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",248.2,21.6,22.75,7.86,4.0,3.75,63.9,0.0,8.7,2.48,57.06,67.84
41202510,"Almonds, unsalted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",257.2,18.78,27.98,7.79,13.02,5.73,82.0,0.0,7.3,2.57,54.12,77.24
42104100,"Antipasto with ham, fish, cheese, vegetables","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",326.9,19.86,39.68,9.87,5.1,9.82,158.1,0.0,6.08,3.27,62.83,63.24
41420200,Baby Toddler beef,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",419.6,6.03,56.43,18.87,18.52,1.96,297.8,0.0,1.44,4.2,44.47,46.74
41420350,Baby Toddler chicken,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",376.8,29.78,23.0,18.41,8.8,7.58,372.8,0.0,7.9,3.77,74.83,99.4
41420100,Baby Toddler fruit and meat,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",547.3,14.97,25.79,42.7,4.04,6.82,329.4,0.0,2.74,5.47,48.31,42.04
41420300,Baby Toddler ham,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",414.5,13.95,13.96,33.66,3.45,5.51,242.1,0.0,3.37,4.14,39.03,40.46
41420410,"Baby Toddler juice, fruit and yogurt blend","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",629.0,18.64,53.11,38.0,16.92,3.4,354.5,0.0,2.96,6.29,70.12,77.18
41420110,"Baby Toddler meat, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",276.7,11.79,26.78,13.6,3.05,7.23,236.6,0.0,4.26,2.77,39.74,35.94
41420450,Baby Toddler turkey,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",821.1,28.65,53.97,54.51,9.39,9.53,304.6,0.0,3.49,8.21,92.5,88.31
41420400,Baby Toddler vegetables and meat,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",371.8,6.68,15.3,31.54,6.71,6.51,86.6,0.0,1.8,3.72,24.73,26.02
41420250,"Baby Toddler vegetables, with grain","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",491.9,23.65,24.12,33.43,5.4,2.05,255.8,0.0,4.81,4.92,64.28,71.91
42104000,"Bacon strip, meatless","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",389.1,10.69,39.19,21.06,10.63,5.83,82.2,0.0,2.75,3.89,44.87,45.55
41810250,"Baked beans, reduced sodium","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",771.0,19.62,50.81,54.37,9.61,1.43,320.7,0.0,2.54,7.71,72.36,62.66
42112200,"Beef and noodles, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",390.9,25.45,39.38,14.62,6.46,4.06,191.2,0.0,6.51,3.91,74.5,81.45
41812600,"Beef and potatoes, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",386.7,8.19,14.65,32.82,12.05,3.4,359.9,0.0,2.12,3.87,27.57,40.94
42202130,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",543.3,25.28,21.13,39.74,19.04,5.75,216.5,0.0,4.65,5.43,66.56,103.05
42110050,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",442.7,19.41,49.6,18.51,15.17,2.22,117.2,0.0,4.38,4.43,68.05,79.72
41811400,Beef curry with rice,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",423.7,13.4,24.51,30.22,3.4,1.72,167.8,0.0,3.16,4.24,43.29,38.53
42202200,"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",418.3,11.61,35.98,25.33,3.2,6.01,264.9,0.0,2.78,4.18,45.39,32.86
42203200,Beef salad,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",650.9,5.39,56.69,44.73,17.23,1.84,295.8,0.0,0.83,6.51,45.63,37.61
41420050,"Beef steak with onions, Puerto Rican style","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",264.2,24.95,38.16,1.31,10.3,4.67,46.5,0.0,9.44,2.64,71.62,90.17
42114140,Beef wellington,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",515.8,9.28,43.38,33.91,13.94,1.79,357.5,0.0,1.8,5.16,45.41,45.4
41205075,"Beef with spaetzle or rice, vegetable, frozen meal","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",140.1,16.5,14.1,1.97,8.57,2.35,362.6,0.0,11.78,1.4,41.45,63.84
41810200,"Beef, ground, with egg and onion","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",581.1,13.37,44.77,38.73,14.97,5.43,366.0,0.0,2.3,5.81,54.94,58.43
42104110,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",403.6,26.15,46.79,12.43,5.47,3.85,390.5,0.0,6.48,4.04,79.73,81.32
42104105,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",422.7,13.71,45.51,20.65,17.17,5.09,288.1,0.0,3.24,4.23,54.4,67.02
42111205,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",534.9,23.12,31.8,35.02,8.79,3.71,231.7,0.0,4.32,5.35,67.49,76.24
42110100,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",362.6,19.49,24.33,20.82,4.43,1.47,102.1,0.0,5.38,3.63,54.77,60.08
42110120,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",285.0,18.68,12.04,18.01,12.78,9.56,343.8,0.0,6.55,2.85,46.23,75.9
42110110,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",313.7,16.4,11.5,22.45,12.71,9.58,207.2,0.0,5.23,3.14,41.69,68.35
41810600,"Beef, roast, hash","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",473.9,15.07,54.52,21.73,15.53,5.28,49.9,0.0,3.18,4.74,62.14,66.79
41205055,"Beef, sliced, with gravy, potatoes, vegetable, frozen meal","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",647.1,14.86,45.6,45.03,11.12,2.63,109.1,0.0,2.3,6.47,58.99,53.88
41311030,"Bibimbap, Korean","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",401.3,9.67,42.75,21.29,19.7,6.99,382.7,0.0,2.41,4.01,44.73,60.38
41210000,Biryani with vegetables,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",400.2,15.1,10.81,32.95,3.22,1.01,246.8,0.0,3.77,4.0,39.61,43.74
42302055,Bologna sandwich on wheat,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",741.0,25.39,41.01,52.82,7.29,1.64,197.5,0.0,3.43,7.41,78.69,75.93
42303100,"Bologna sandwich on wheat, with cheese","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",395.2,5.72,40.84,23.22,18.67,5.5,283.9,0.0,1.45,3.95,35.81,46.6
42304020,"Bologna sandwich on white, with cheese","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",235.0,6.7,44.13,3.52,7.26,4.18,296.1,0.0,2.85,2.35,37.82,29.92
41101020,Brazil nuts,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",500.8,6.29,17.93,44.89,5.25,3.1,181.9,0.0,1.26,5.01,26.55,19.35
41205050,"Bread, barley","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",464.3,24.58,13.05,34.86,15.93,5.25,43.0,0.0,5.29,4.64,60.33,96.31
41205070,"Bread, white, special formula, added fiber","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",572.9,13.18,25.26,46.58,13.61,3.64,285.7,0.0,2.3,5.73,44.72,55.3
42111030,"Breakfast link, pattie, or slice, meatless","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",213.7,7.17,21.15,11.16,10.28,6.92,106.3,0.0,3.36,2.14,27.05,37.8
41302080,Cashew butter,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",640.4,22.89,49.41,39.02,13.03,5.05,343.5,0.0,3.57,6.4,76.89,81.92
41103010,"Cashews, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",652.6,10.4,39.54,50.31,16.56,9.29,391.4,0.0,1.59,6.53,47.1,51.27
41104020,"Cashews, honey roasted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",501.4,29.4,53.68,18.79,12.99,8.63,177.1,0.0,5.86,5.01,90.65,104.15
41104200,"Cashews, lightly salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",566.1,14.13,40.57,38.59,8.82,1.97,28.8,0.0,2.5,5.66,54.21,48.71
41104080,"Cashews, salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",482.8,7.14,19.17,41.95,3.37,8.35,6.6,0.0,1.48,4.83,28.69,18.5
41103990,"Cashews, unroasted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",631.7,20.57,30.64,47.43,7.28,9.83,245.9,0.0,3.26,6.32,62.78,63.64
41104250,"Cashews, unsalted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",517.2,18.02,47.11,28.53,10.18,4.58,11.6,0.0,3.48,5.17,64.77,64.08
41310900,Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",289.2,7.39,20.36,19.79,12.2,3.64,111.2,0.0,2.56,2.89,27.85,40.79
42204100,"Cereal, oat bran, ready-to-eat","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",441.8,9.83,17.61,36.89,9.96,7.39,103.4,0.0,2.22,4.42,32.88,40.57
41102020,Chestnuts,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",618.7,24.09,32.37,43.65,13.51,2.02,63.4,0.0,3.89,6.19,70.55,86.92
42100100,Chia seeds,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",652.5,20.16,40.21,45.67,10.23,3.48,106.7,0.0,3.09,6.52,66.95,67.89
