Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Milk, human",1 cup,Human milk,246,11000000
"Milk, human",Quantity not specified,Human milk,0,11000000
"Milk, human",1 fl oz,Human milk,"30,8",11000000
"Milk, NFS",1 cup,"Milk, reduced fat",244,11100000
"Milk, NFS",1 fl oz,"Milk, reduced fat","30,5",11100000
"Milk, NFS",1 individual school container,"Milk, reduced fat",244,11100000
"Milk, NFS",Guideline amount per fl oz of beverage,"Milk, reduced fat","2,5",11100000
"Milk, NFS",Guideline amount per cup of hot cereal,"Milk, reduced fat",61,11100000
"Milk, NFS",Quantity not specified,"Milk, reduced fat",244,11100000
"Milk, whole",1 cup,"Milk, whole",244,11111000
"Milk, whole",1 fl oz,"Milk, whole","30,5",11111000
"Milk, whole",1 individual school container,"Milk, whole",244,11111000
"Milk, whole",Guideline amount per fl oz of beverage,"Milk, whole","2,5",11111000
"Milk, whole",Guideline amount per cup of hot cereal,"Milk, whole",61,11111000
"Milk, whole",Quantity not specified,"Milk, whole",244,11111000
"Milk, reduced fat (2%)",1 cup,"Milk, reduced fat",244,11112110
"Milk, reduced fat (2%)",1 fl oz,"Milk, reduced fat","30,5",11112110
"Milk, reduced fat (2%)",1 individual school container,"Milk, reduced fat",244,11112110
"Milk, reduced fat (2%)",Guideline amount per fl oz of beverage,"Milk, reduced fat","2,5",11112110
"Milk, reduced fat (2%)",Guideline amount per cup of hot cereal,"Milk, reduced fat",61,11112110
"Milk, reduced fat (2%)",Quantity not specified,"Milk, reduced fat",244,11112110
"Milk, low fat (1%)",1 cup,"Milk, lowfat",244,11112210
"Milk, low fat (1%)",1 fl oz,"Milk, lowfat","30,5",11112210
"Milk, low fat (1%)",1 individual school container,"Milk, lowfat",244,11112210
"Milk, low fat (1%)",Guideline amount per fl oz of beverage,"Milk, lowfat","2,5",11112210
"Milk, low fat (1%)",Guideline amount per cup of hot cereal,"Milk, lowfat",61,11112210
"Milk, low fat (1%)",Quantity not specified,"Milk, lowfat",244,11112210
"Milk, fat free (skim)",1 cup,"Milk, nonfat",244,11113000
"Milk, fat free (skim)",1 fl oz,"Milk, nonfat","30,5",11113000
"Milk, fat free (skim)",1 individual school container,"Milk, nonfat",244,11113000
"Milk, fat free (skim)",Guideline amount per fl oz of beverage,"Milk, nonfat","2,5",11113000
"Milk, fat free (skim)",Guideline amount per cup of hot cereal,"Milk, nonfat",61,11113000
"Milk, fat free (skim)",Quantity not specified,"Milk, nonfat",244,11113000
"Milk, lactose free, low fat (1%)",1 cup,"Milk, lowfat",244,11114300
"Milk, lactose free, low fat (1%)",1 fl oz,"Milk, lowfat","30,5",11114300
"Milk, lactose free, low fat (1%)",Guideline amount per fl oz of beverage,"Milk, lowfat","2,5",11114300
"Milk, lactose free, low fat (1%)",Guideline amount per cup of hot cereal,"Milk, lowfat",61,11114300
"Milk, lactose free, low fat (1%)",Quantity not specified,"Milk, lowfat",244,11114300
"Milk, lactose free, fat free (skim)",1 cup,"Milk, nonfat",244,11114320
"Milk, lactose free, fat free (skim)",1 fl oz,"Milk, nonfat","30,5",11114320
"Milk, lactose free, fat free (skim)",Guideline amount per fl oz of beverage,"Milk, nonfat","2,5",11114320
"Milk, lactose free, fat free (skim)",Guideline amount per cup of hot cereal,"Milk, nonfat",61,11114320
"Milk, lactose free, fat free (skim)",Quantity not specified,"Milk, nonfat",244,11114320
"Milk, lactose free, reduced fat (2%)",1 cup,"Milk, reduced fat",244,11114330
"Milk, lactose free, reduced fat (2%)",1 fl oz,"Milk, reduced fat","30,5",11114330
"Milk, lactose free, reduced fat (2%)",Guideline amount per fl oz of beverage,"Milk, reduced fat","2,5",11114330
"Milk, lactose free, reduced fat (2%)",Guideline amount per cup of hot cereal,"Milk, reduced fat",61,11114330
"Milk, lactose free, reduced fat (2%)",Quantity not specified,"Milk, reduced fat",244,11114330
"Milk, lactose free, whole",1 cup,"Milk, whole",244,11114350
"Milk, lactose free, whole",1 fl oz,"Milk, whole","30,5",11114350
"Milk, lactose free, whole",Guideline amount per fl oz of beverage,"Milk, whole","2,5",11114350
"Milk, lactose free, whole",Guideline amount per cup of hot cereal,"Milk, whole",61,11114350
"Milk, lactose free, whole",Quantity not specified,"Milk, whole",244,11114350
Buttermilk,1 cup,"Milk, whole",244,11115300
