Food code,MainGroup
11000000,Milk and Milk Products
11100000,Milk and Milk Products
11111000,Milk and Milk Products
11112110,Milk and Milk Products
11112210,Milk and Milk Products
11113000,Milk and Milk Products
11114300,Milk and Milk Products
11114320,Milk and Milk Products
11114330,Milk and Milk Products
11114350,Milk and Milk Products
11115300,Milk and Milk Products
11115400,Milk and Milk Products
11116000,Milk and Milk Products
11120000,Milk and Milk Products
11121100,Milk and Milk Products
11210050,Milk and Milk Products
11211050,Milk and Milk Products
11211400,Milk and Milk Products
11212050,Milk and Milk Products
11220000,Milk and Milk Products
11300100,Milk and Milk Products
11320000,Milk and Milk Products
11320100,Milk and Milk Products
11321000,Milk and Milk Products
11350000,Milk and Milk Products
11350010,Milk and Milk Products
11350020,Milk and Milk Products
11350040,Milk and Milk Products
11360000,Milk and Milk Products
11360200,Milk and Milk Products
11370000,Milk and Milk Products
11400000,Milk and Milk Products
11400010,Milk and Milk Products
11410000,Milk and Milk Products
11411010,Milk and Milk Products
11411100,Milk and Milk Products
11411200,Milk and Milk Products
11411300,Milk and Milk Products
11411390,Milk and Milk Products
11411400,Milk and Milk Products
11411410,Milk and Milk Products
11411420,Milk and Milk Products
11430000,Milk and Milk Products
11431000,Milk and Milk Products
11432000,Milk and Milk Products
11433000,Milk and Milk Products
11433990,Milk and Milk Products
11434000,Milk and Milk Products
11434010,Milk and Milk Products
11434020,Milk and Milk Products
11434090,Milk and Milk Products
11434100,Milk and Milk Products
11434200,Milk and Milk Products
11434300,Milk and Milk Products
11435000,Milk and Milk Products
11435010,Milk and Milk Products
11435020,Milk and Milk Products
11435030,Milk and Milk Products
11435100,Milk and Milk Products
11436000,Milk and Milk Products
11436100,Milk and Milk Products
11440010,Milk and Milk Products
11440030,Milk and Milk Products
11440040,Milk and Milk Products
11440050,Milk and Milk Products
11440060,Milk and Milk Products
11440070,Milk and Milk Products
11446000,Milk and Milk Products
11459990,Milk and Milk Products
11460000,Milk and Milk Products
11460100,Milk and Milk Products
11460500,Milk and Milk Products
11460510,Milk and Milk Products
11461200,Milk and Milk Products
11461210,Milk and Milk Products
11461220,Milk and Milk Products
11461250,Milk and Milk Products
11461260,Milk and Milk Products
11461300,Milk and Milk Products
11461320,Milk and Milk Products
11480000,Milk and Milk Products
11480010,Milk and Milk Products
11480100,Milk and Milk Products
11511000,Milk and Milk Products
11511100,Milk and Milk Products
11511200,Milk and Milk Products
11511300,Milk and Milk Products
11511400,Milk and Milk Products
11511550,Milk and Milk Products
11512005,Milk and Milk Products
11512010,Milk and Milk Products
11512020,Milk and Milk Products
11512030,Milk and Milk Products
11512100,Milk and Milk Products
11513380,Milk and Milk Products
11513385,Milk and Milk Products
11513801,Milk and Milk Products
11513802,Milk and Milk Products
11513803,Milk and Milk Products
11513804,Milk and Milk Products
11514100,Milk and Milk Products
11514110,Milk and Milk Products
11514130,Milk and Milk Products
11514150,Milk and Milk Products
11514160,Milk and Milk Products
11514310,Milk and Milk Products
11514320,Milk and Milk Products
11514325,Milk and Milk Products
11514330,Milk and Milk Products
11514340,Milk and Milk Products
11514350,Milk and Milk Products
11514360,Milk and Milk Products
11519040,Milk and Milk Products
11519050,Milk and Milk Products
11519105,Milk and Milk Products
11519200,Milk and Milk Products
11519205,Milk and Milk Products
11519210,Milk and Milk Products
11526000,Milk and Milk Products
11531000,Milk and Milk Products
11541110,Milk and Milk Products
11541120,Milk and Milk Products
11541130,Milk and Milk Products
11541135,Milk and Milk Products
11541400,Milk and Milk Products
11542100,Milk and Milk Products
11542200,Milk and Milk Products
11543000,Milk and Milk Products
11543010,Milk and Milk Products
11551050,Milk and Milk Products
11553100,Milk and Milk Products
11553110,Milk and Milk Products
11553120,Milk and Milk Products
11553130,Milk and Milk Products
11560000,Milk and Milk Products
11710000,Milk and Milk Products
11710030,Milk and Milk Products
11710051,Milk and Milk Products
11710056,Milk and Milk Products
11710351,Milk and Milk Products
11710357,Milk and Milk Products
11710358,Milk and Milk Products
11710359,Milk and Milk Products
11710371,Milk and Milk Products
11710377,Milk and Milk Products
11710378,Milk and Milk Products
11710379,Milk and Milk Products
11710381,Milk and Milk Products
11710383,Milk and Milk Products
11710481,Milk and Milk Products
11710605,Milk and Milk Products
11710631,Milk and Milk Products
11710637,Milk and Milk Products
11710638,Milk and Milk Products
