Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Protein (g),g,9.25,9.25,11000000
Carbohydrate (g),g,10.16,10.16,11000000
Total Fat (g),g,17.09,17.09,11000000
"Fiber, total dietary (g)",g,0.11,0.11,11000000
Energy (kcal),kcal,231.4,231.4,11000000
Protein (g),g,7.94,7.94,11100000
Carbohydrate (g),g,6.35,6.35,11100000
Total Fat (g),g,11.02,11.02,11100000
"Fiber, total dietary (g)",g,0.12,0.12,11100000
Energy (kcal),kcal,156.3,156.3,11100000
Protein (g),g,10.61,10.61,11111000
Carbohydrate (g),g,9.0,9.0,11111000
Total Fat (g),g,10.69,10.69,11111000
"Fiber, total dietary (g)",g,0.13,0.13,11111000
Energy (kcal),kcal,174.6,174.6,11111000
Protein (g),g,11.99,11.99,11112110
Carbohydrate (g),g,6.62,6.62,11112110
Total Fat (g),g,12.14,12.14,11112110
"Fiber, total dietary (g)",g,0.08,0.08,11112110
Energy (kcal),kcal,183.7,183.7,11112110
Protein (g),g,8.83,8.83,11112210
Carbohydrate (g),g,8.12,8.12,11112210
Total Fat (g),g,14.39,14.39,11112210
"Fiber, total dietary (g)",g,0.09,0.09,11112210
Energy (kcal),kcal,197.3,197.3,11112210
Protein (g),g,10.67,10.67,11113000
Carbohydrate (g),g,6.27,6.27,11113000
Total Fat (g),g,13.13,13.13,11113000
"Fiber, total dietary (g)",g,0.09,0.09,11113000
Energy (kcal),kcal,185.9,185.9,11113000
Protein (g),g,9.74,9.74,11114300
Carbohydrate (g),g,9.37,9.37,11114300
Total Fat (g),g,12.3,12.3,11114300
"Fiber, total dietary (g)",g,0.1,0.1,11114300
Energy (kcal),kcal,187.1,187.1,11114300
Protein (g),g,10.55,10.55,11114320
Carbohydrate (g),g,5.82,5.82,11114320
Total Fat (g),g,15.97,15.97,11114320
"Fiber, total dietary (g)",g,0.08,0.08,11114320
Energy (kcal),kcal,209.2,209.2,11114320
Protein (g),g,7.39,7.39,11114330
Carbohydrate (g),g,10.15,10.15,11114330
Total Fat (g),g,19.19,19.19,11114330
"Fiber, total dietary (g)",g,0.12,0.12,11114330
Energy (kcal),kcal,242.9,242.9,11114330
Protein (g),g,8.83,8.83,11114350
Carbohydrate (g),g,6.07,6.07,11114350
Total Fat (g),g,16.66,16.66,11114350
"Fiber, total dietary (g)",g,0.1,0.1,11114350
Energy (kcal),kcal,209.5,209.5,11114350
Protein (g),g,7.73,7.73,11115300
Carbohydrate (g),g,7.98,7.98,11115300
Total Fat (g),g,10.81,10.81,11115300
"Fiber, total dietary (g)",g,0.12,0.12,11115300
Energy (kcal),kcal,160.1,160.1,11115300
Protein (g),g,8.55,8.55,11115400
Carbohydrate (g),g,8.78,8.78,11115400
Total Fat (g),g,13.31,13.31,11115400
"Fiber, total dietary (g)",g,0.1,0.1,11115400
Energy (kcal),kcal,189.1,189.1,11115400
Protein (g),g,10.28,10.28,11116000
Carbohydrate (g),g,6.49,6.49,11116000
Total Fat (g),g,19.23,19.23,11116000
"Fiber, total dietary (g)",g,0.12,0.12,11116000
Energy (kcal),kcal,240.1,240.1,11116000
Protein (g),g,12.64,12.64,11120000
Carbohydrate (g),g,9.9,9.9,11120000
Total Fat (g),g,15.88,15.88,11120000
"Fiber, total dietary (g)",g,0.13,0.13,11120000
Energy (kcal),kcal,233.1,233.1,11120000
Protein (g),g,7.53,7.53,11121100
Carbohydrate (g),g,6.54,6.54,11121100
Total Fat (g),g,10.91,10.91,11121100
"Fiber, total dietary (g)",g,0.09,0.09,11121100
Energy (kcal),kcal,154.5,154.5,11121100
Protein (g),g,9.33,9.33,11210050
Carbohydrate (g),g,6.9,6.9,11210050
Total Fat (g),g,17.96,17.96,11210050
"Fiber, total dietary (g)",g,0.09,0.09,11210050
Energy (kcal),kcal,226.6,226.6,11210050
Protein (g),g,8.69,8.69,11211050
Carbohydrate (g),g,8.2,8.2,11211050
Total Fat (g),g,11.77,11.77,11211050
"Fiber, total dietary (g)",g,0.12,0.12,11211050
Energy (kcal),kcal,173.5,173.5,11211050
Protein (g),g,7.45,7.45,11211400
Carbohydrate (g),g,10.34,10.34,11211400
Total Fat (g),g,17.45,17.45,11211400
"Fiber, total dietary (g)",g,0.08,0.08,11211400
Energy (kcal),kcal,228.2,228.2,11211400
Protein (g),g,7.03,7.03,11212050
Carbohydrate (g),g,9.51,9.51,11212050
Total Fat (g),g,16.86,16.86,11212050
"Fiber, total dietary (g)",g,0.11,0.11,11212050
Energy (kcal),kcal,217.9,217.9,11212050
Protein (g),g,11.63,11.63,11220000
Carbohydrate (g),g,5.96,5.96,11220000
Total Fat (g),g,13.73,13.73,11220000
"Fiber, total dietary (g)",g,0.08,0.08,11220000
Energy (kcal),kcal,193.9,193.9,11220000
Protein (g),g,12.18,12.18,11300100
Carbohydrate (g),g,8.59,8.59,11300100
Total Fat (g),g,13.48,13.48,11300100
"Fiber, total dietary (g)",g,0.07,0.07,11300100
Energy (kcal),kcal,204.4,204.4,11300100
Protein (g),g,8.87,8.87,11320000
Carbohydrate (g),g,7.16,7.16,11320000
Total Fat (g),g,17.07,17.07,11320000
"Fiber, total dietary (g)",g,0.11,0.11,11320000
Energy (kcal),kcal,217.8,217.8,11320000
Protein (g),g,12.32,12.32,11320100
Carbohydrate (g),g,7.87,7.87,11320100
Total Fat (g),g,11.58,11.58,11320100
"Fiber, total dietary (g)",g,0.11,0.11,11320100
Energy (kcal),kcal,185.0,185.0,11320100
Protein (g),g,11.56,11.56,11321000
Carbohydrate (g),g,8.29,8.29,11321000
Total Fat (g),g,17.44,17.44,11321000
